"X","Y","Z","Red","Green","Blue"
412351.53,4265849.34,2173.42,0,0,0
412351.32,4265848.81,2173.40,0,0,0
412350.02,4265848.49,2173.36,0,0,0
412348.73,4265848.17,2173.36,0,0,0
412348.87,4265846.88,2173.38,0,0,0
412350.19,4265847.20,2173.40,0,0,0
412351.51,4265847.52,2173.40,0,0,0
412351.57,4265847.09,2173.36,0,0,0
412350.25,4265846.77,2173.35,0,0,0
412348.95,4265846.46,2173.35,0,0,0
412349.11,4265845.25,2173.36,0,0,0
412350.41,4265845.56,2173.36,0,0,0
412350.78,4265845.20,2173.34,0,0,0
412349.47,4265844.88,2173.35,0,0,0
412348.14,4265844.57,2173.36,0,0,0
412348.19,4265843.36,2173.42,0,0,0
412349.51,4265843.67,2173.38,0,0,0
412350.80,4265843.96,2173.36,0,0,0
412351.52,4265843.63,2173.35,0,0,0
412350.21,4265843.31,2173.36,0,0,0
412348.91,4265843.00,2173.38,0,0,0
412348.73,4265841.65,2173.44,0,0,0
412350.06,4265841.96,2173.42,0,0,0
412351.38,4265842.27,2173.38,0,0,0
412351.07,4265841.77,2173.40,0,0,0
412349.76,4265841.46,2173.40,0,0,0
